prompt_id,example_id,render_status,eval_score,eval_source,code_len,wallclock_s,started_at,finished_at
008049fc-f49b-4a63-8115-9c01f49e9a83,3423ccf1-ee8c-422e-af78-f0aacb45065f,success,9.2,agent_submitted,1367,122,2026-06-13T17:48:00Z,2026-06-13T17:50:02Z
00880a28-ee19-4c38-97c2-a26fcfc862a7,fa5b81a7-2823-4430-8006-2b68647ac7f3,success,9.2,agent_submitted,1032,91,2026-06-13T17:50:02Z,2026-06-13T17:51:33Z
00a8f375-e5d0-4c1d-8ad9-06985c0a5ec7,2c79f9d2-9f3b-4676-a55b-28d1bc0f6a98,success,8.2,agent_submitted,1617,364,2026-06-13T17:51:33Z,2026-06-13T17:57:37Z
00bd1aed-ed75-4e1c-a860-13d254afd967,e9a4c15f-e120-4ae9-9bdc-028247a76300,success,9.2,agent_submitted,894,91,2026-06-13T17:57:37Z,2026-06-13T17:59:08Z
00d1eb27-97ff-49bc-a78b-c0752af7e439,0cea8976-c854-42d8-abd4-8bd0878f6c1d,success,3.0,code_only,2609,1572,2026-06-13T17:59:08Z,2026-06-13T18:25:20Z
020c6ab4-f8f6-4d8c-90de-c0051f15c9d7,ec9691cf-36a4-4e04-8924-b58d8c0f8fd4,success,6.0,agent_submitted,3419,1058,2026-06-13T18:25:21Z,2026-06-13T18:42:59Z
026e71b9-0d8e-4218-befd-92d3b2686c9e,3be0c871-8af6-4a3f-ac49-b1990f0a2909,success,2.0,code_only,2286,726,2026-06-13T18:43:00Z,2026-06-13T18:55:06Z
027bc5cc-b66b-4807-b3bb-35e76ad0e9c1,b1dbe7f7-03e6-4780-a1a8-c75b460cb777,success,9.2,agent_submitted,1270,151,2026-06-13T18:55:06Z,2026-06-13T18:57:37Z
03909b59-7680-4d25-a667-94c25b92f00f,1fb0e3b7-3d7a-43ec-841a-14afd9f7bdd1,success,5.0,agent_submitted,3860,1210,2026-06-13T18:57:37Z,2026-06-13T19:17:47Z
03a8e28f-58f1-465b-be4c-f18989675c10,fdccab90-9593-4224-b90f-05a5c5ea2edd,error,2.0,code_only,2353,634,2026-06-13T19:17:47Z,2026-06-13T19:28:21Z
05066df7-b2f4-46aa-a48f-a37f046982a9,1c02f469-7a7c-44a1-91ca-c95349f4649a,success,6.8,agent_submitted,4838,513,2026-06-13T19:28:21Z,2026-06-13T19:36:54Z
0636174a-50cd-49fd-8217-7974b1a096fc,fa95f521-aabc-454d-8165-e80536d0eead,success,7.4,agent_submitted,1370,151,2026-06-13T19:36:55Z,2026-06-13T19:39:26Z
06af61b6-340b-4832-87e4-7c4ac989c3c7,bd0d5ea3-0cb5-43ba-8165-b24e45eb3c4d,error,,,0,423,2026-06-13T19:39:26Z,2026-06-13T19:46:29Z
078e4d11-bdec-4e92-944f-7bcbb53f41b9,4e3686ec-b26f-40d3-a574-f0d3afba1f8b,success,6.2,agent_submitted,4007,574,2026-06-13T19:46:29Z,2026-06-13T19:56:03Z
07e7526a-2843-49e4-81cf-9dbaca966a93,bc0d7987-ffb9-4c2d-ae14-d3d0adfeec1b,success,9.2,agent_submitted,129,61,2026-06-13T19:56:03Z,2026-06-13T19:57:04Z
084375fa-217c-4016-929f-dd0e2040a57a,814ec8ae-c5e3-4737-92dc-95e64c3cd0c8,success,9.8,agent_submitted,258,61,2026-06-13T19:57:04Z,2026-06-13T19:58:05Z
09b73b07-97ba-4cf1-98b9-fa9e2cc07769,a91cb42d-5990-4758-9481-e01bc623ba18,success,7.4,agent_submitted,2659,515,2026-06-13T19:58:05Z,2026-06-13T20:06:40Z
09c2b5de-a5fc-4e89-adb6-7a96f3eaefc3,505855b7-b707-4946-b6bc-5dcc0acebfa5,success,7.0,agent_submitted,2747,575,2026-06-13T20:06:40Z,2026-06-13T20:16:15Z
09df32d8-b3a1-4d92-be8a-fa5df10d3fbd,2d645518-e4bf-4f5c-9699-7063fcc15d24,success,10.0,agent_submitted,240,61,2026-06-13T20:16:15Z,2026-06-13T20:17:16Z
0b1a1ba1-bf0a-4c3f-874a-cf6d0bf5905f,75c6fb95-5e54-47c6-bb53-af1d44f04901,success,9.0,agent_submitted,467,61,2026-06-13T20:17:16Z,2026-06-13T20:18:17Z
10024302-14c4-4bf4-be67-77b654123359,34f59b0f-d702-4348-80ee-d617fd9938a5,success,7.4,agent_submitted,4323,1119,2026-06-13T20:18:17Z,2026-06-13T20:36:56Z
19d8a259-9bb5-4c42-aa64-e29e81d9d23c,def76ef7-50de-4801-b6be-1d23045080bc,success,4.4,agent_submitted,7321,908,2026-06-13T20:36:56Z,2026-06-13T20:52:04Z
1a1b5f13-a2bc-4911-9ef3-96834c0981a8,30f7cab2-dd52-4ef3-ae02-65dde4b62327,success,5.4,composite,3109,878,2026-06-13T20:52:04Z,2026-06-13T21:06:42Z
2341d5b6-8a8a-46db-861b-f32b4f9cea92,b7bca873-c00d-48d9-a21b-40b2ebf80ce6,error,,,0,485,2026-06-13T21:06:42Z,2026-06-13T21:14:47Z
24f10279-fe4c-4ea5-97e8-3cec6d938b41,7ec78504-9b96-46b3-8573-fcc0441d05b9,success,5.6,agent_submitted,4182,636,2026-06-13T21:14:47Z,2026-06-13T21:25:23Z
2d902495-8778-40be-aad6-14295e4a53f8,6901bcfb-25de-4406-bb9f-c6fccd8f7333,success,2.0,code_only,2336,606,2026-06-13T21:25:23Z,2026-06-13T21:35:29Z
32b6c670-8dfa-43ed-8fd4-e7634d021fd1,086dc6b0-d9b4-4d79-8dfe-0eec4c397845,success,7.0,agent_submitted,4691,272,2026-06-13T21:35:29Z,2026-06-13T21:40:01Z
5dd717c0-dc4d-494c-98d2-b4c3b59c2222,4544bba4-e75b-4e34-8580-40e5ebeac164,success,6.6,agent_submitted,1781,182,2026-06-13T21:40:02Z,2026-06-13T21:43:04Z
5eeab060-20ad-4551-a151-f8402285b959,e49fe4ea-556d-4c4f-86ee-49b184bdd0fd,success,8.2,agent_submitted,2762,272,2026-06-13T21:43:04Z,2026-06-13T21:47:36Z
645de13c-1e6a-4727-8a8f-bb6a231fd677,a8276bdb-3bc5-4675-9e4b-88ff578c46ed,success,2.0,code_only,1421,1341,2026-06-13T21:47:37Z,2026-06-13T22:09:58Z
